dp_e_1,dp_e_2,dp_e_3,dp_e_4,dp_e_5,dp_e_6,ddp_e_1,ddp_e_2,ddp_e_3,ddp_e_4,ddp_e_5,ddp_e_6,dp_e_1_kf,dp_e_2_kf,dp_e_3_kf,dp_e_4_kf,dp_e_5_kf,dp_e_6_kf,ddp_e_1_kf,ddp_e_2_kf,ddp_e_3_kf,ddp_e_4_kf,ddp_e_5_kf,ddp_e_6_kf,dddp_e_1_kf,dddp_e_2_kf,dddp_e_3_kf,dddp_e_4_kf,dddp_e_5_kf,dddp_e_6_kf,x_ref,y_ref,z_ref,dx_ref,dy_ref,dz_ref,ddx_ref,ddy_ref,ddz_ref,dddx_ref,dddy_ref,dddz_ref,x_des,y_des,z_des,dx_des,dy_des,dz_des,ddx_des,ddy_des,ddz_des
1.2535400792087675e-06,-3.0920026706067017e-06,3.6241799753801304e-06,0.00011095642746505196,-0.00010783409844559395,-3.2742032736663687e-06,0.0002802441703739809,0.00011030425618856469,0.00012240671423752267,9.454844758931301e-05,-0.00048589293286558066,0.0008338319323322842,-1.4412007552160418e-06,-4.1282490086551135e-06,2.5055834706825575e-06,0.00011065603026973447,-0.00010379801042268444,-1.1199757226057715e-05,0.00014243725763259975,6.850666370812067e-05,7.814318696668207e-05,5.680725091021215e-05,-0.00027492262456324876,0.00046860070383077595,0.0009137367730984701,0.0005685099218190921,0.0005435087772475674,-0.001632024646873557,2.7417240790745048e-05,0.003392976324959682,-0.15634196275833298,-0.5693409928571692,0.1848767453839286,-4.339704797429177e-06,8.297157494278431e-06,1.532033809249119e-05,6.519172156593811e-05,6.809128011298071e-05,8.956636279755514e-05,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,-2e-06,0.000219,0.000346,0.00019999999999999998,-0.023299999999999998,-0.0368
1.0257703598513902e-07,-6.948903571531536e-06,-1.6428650290424491e-06,0.00011022218065373877,-9.97205441291197e-05,-1.9713361277134947e-05,-3.452822227639219e-05,-0.00011570563122570414,-0.00015801252014421531,-2.202826839864898e-05,0.0002434056487023839,-0.0004931752534873346,4.747481974889452e-07,-5.903019813299102e-06,-2.3016987819163372e-07,0.00011064153406415049,-0.00010216372067529419,-1.5194486108815846e-05,3.0264511360383488e-05,-5.225281559305505e-05,-7.859811713726131e-05,-1.4400569241396937e-05,8.180117408288922e-05,-0.00015745122170380047,0.00020966262779158955,-0.00012123381795111504,-0.00031977533649521776,-0.0017150381993192682,0.0017840131079394314,-0.00025606307494012567,-0.1563420517243021,-0.5693407546091919,0.18487719551870102,-2.668979073868389e-06,7.147439319391915e-06,1.3504043172574144e-05,5.012177170682364e-05,-3.449154524659548e-05,-5.448884759751138e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,0.0,-1.4e-05,-2.2e-05,-9.999999999999999e-05,0.0169,0.026699999999999998
-7.066753520126244e-07,-6.389345619114025e-06,-7.916826207186156e-07,0.00011006036583297638,-9.989088732443267e-05,-1.8813660620530276e-05,-2.4277023159706857e-05,1.6788108577288737e-05,2.5534153353956165e-05,-4.854331334665926e-06,-5.110049649701654e-06,2.699109084971489e-05,-1.2339255672190337e-07,-6.5410995022839644e-06,-1.0905061353972715e-06,0.00011005771536882525,-0.00010004681875243412,-1.8557098465974102e-05,-4.455109092691488e-06,-6.762043343654994e-06,-1.1455778496256925e-05,-2.635420344753137e-05,4.206510931021131e-05,-3.5202887083894343e-05,3.059553963737492e-05,9.136073699320585e-05,1.416135248522287e-05,-0.0015209904894617867,0.0013582779870743883,0.0003051959185274714,-0.15634209826869186,-0.5693405487009562,0.1848775932527572,-1.3963316930561585e-06,6.177247069890274e-06,1.193202168600453e-05,3.817942142436692e-05,-2.9105767485049228e-05,-4.7160644597088464e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,-1e-06,0.000155,0.000245,9.999999999999999e-05,-0.0136,-0.0215
-1.2608389813930922e-06,-3.27440989624167e-06,3.5830769186985607e-06,0.00011007945730911386,-0.00010474623239598561,-7.80327853545984e-06,-1.662444670811622e-05,9.344927436249361e-05,0.0001312414878086139,5.730458883242813e-07,-0.00014566012380613704,0.00033031156135894437,-9.383887976538629e-07,-4.13428419741042e-06,2.320488467492268e-06,0.00010977588456609253,-0.00010321731575513472,-1.0631946327538745e-05,-1.2278926687971503e-05,6.141688006188885e-05,8.435459794745816e-05,-2.5022671738481176e-05,-6.884084287447266e-05,0.00021316346918592947,-2.982845207446342e-06,0.00033851264539007316,0.0003759268469554268,-0.001323594606013652,0.0007656933162163107,0.001208997510652301,-0.15634211287646763,-0.5693402812802331,0.1848780699332383,-4.3823327258903464e-07,8.022621694555217e-06,1.4300414432547964e-05,2.8742952614013717e-05,5.536123873994825e-05,7.105178239630305e-05,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,-0.0,1.9e-05,3e-05,1.6601000000000001,0.10450000000000001,-0.067
-1.6261119694368675e-06,-6.8847642764105324e-06,-1.5021181760726774e-06,0.0001077544558255577,-9.607139255554247e-05,-2.216342562021853e-05,-1.0957768305595404e-05,-0.00010830918782738323,-0.00015255734032656136,-6.975073305436457e-05,0.00026024447253227044,-0.0004308048040551078,-1.5139776621892256e-06,-5.803889160932857e-06,-2.3078295150311477e-08,0.00010792427887894426,-9.813372875092884e-05,-1.7901403860611068e-05,-1.1435864119220655e-05,-4.757363166831413e-05,-6.885982853680783e-05,-6.954862397264895e-05,0.00015839098709417558,-0.0002012093645422847,2.1096726442817517e-07,-7.04522411718031e-05,-0.00018765092032690755,-0.0013249905962019095,0.001451579847596062,-0.00033702816871907545,-0.15634210380436597,-0.5693400623933875,0.1848784715890002,2.7216304950468946e-07,6.566605366960705e-06,1.2049672856765763e-05,2.1311889662811723e-05,-4.3680489827835345e-05,-6.752224727346601e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,0.016601,0.001064,-0.00064,-1.6606000000000003,-0.0398,0.1693
-1.852889053727683e-06,-6.1558904099946725e-06,-5.489545875005159e-07,0.00010632365260498152,-9.570529115414545e-05,-1.9788834678732927e-05,-6.802959239890244e-06,2.186748304530029e-05,2.8593463435388686e-05,-4.2923859924890676e-05,1.098345394411018e-05,7.123787819807423e-05,-1.8484362037824362e-06,-6.322958199777865e-06,-8.035952703471626e-07,0.00010608309918594778,-9.517862002305411e-05,-2.0440127766394318e-05,-8.376914299020477e-06,-2.556183257827906e-06,-6.689211033771936e-06,-6.700697441794496e-05,7.759396032297399e-05,-2.5274117120543938e-05,9.61795774725739e-06,7.55639154740081e-05,2.3287982584520593e-05,-0.0011809962079018688,0.0010533376193330713,0.000239964235416225,-0.1563420775283027,-0.5693398829893739,0.1848788110860878,7.882818981563853e-07,5.382120409080925e-06,1.0184912628178705e-05,1.5483565459550874e-05,-3.553454873639339e-05,-5.594280685761177e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,-5e-06,0.000666,0.001053,0.0004000000000000001,-0.05960000000000001,-0.09419999999999999
-8.3793207483492e-06,-3.461918969978631e-06,4.405689778536834e-06,0.00010481974639028378,-9.412890731733814e-05,-1.9374370999188708e-05,-0.00019579265256361268,8.082015963897058e-05,0.00014863802791228103,-4.5117010429354756e-05,4.729184469198078e-05,1.2434020587282418e-05,-6.808690180161303e-06,-4.2183375479582414e-06,3.0102306979488042e-06,0.00010446582847945318,-9.360387104929407e-05,-1.9922560228340183e-05,-0.00013123186963891155,5.301491339290267e-05,9.549055340584694e-05,-6.618436386563248e-05,6.978714879774396e-05,2.220679134607352e-06,-0.00033820468454336507,0.0002253787878065024,0.00030963846813720293,-0.001067522139686529,0.0009321474229224361,0.0002950394121284993,-0.15634225243646427,-0.5693396646177306,0.18487924118686605,-5.247244846569761e-06,6.551149299364548e-06,1.290302334716979e-05,-0.00018106580234178438,3.5070866708508674e-05,8.154332156973254e-05,0.0,0.0,0.0,-0.156353,-0.569335,0.184889,-1e-06,7e-05,0.000111,0.00019999999999999998,-0.0139,-0.022
1.1018227111964529e-06,-6.206809889704667e-06,-1.465016729197155e-06,0.00010248810489522625,-9.386984127217007e-05,-1.5727428172556337e-05,0.0002844348367020786,-8.234579999959944e-05,-0.00017612196488014015,-6.994899544697912e-05,7.772198349652898e-06,0.00010940843511612581,-1.8287437275178987e-06,-5.33802962609135e-06,3.1509536485397976e-07,0.0001023109668451121,-9.308174153716266e-05,-1.6820680217739806e-05,0.00013629000107891952,-3.2768635373485564e-05,-7.82914463594126e-05,-8.099055053826662e-05,4.007080469089422e-05,7.563246045432343e-05,0.00038884101969749517,-1.7912289714951384e-05,-0.00017045742380668408,-0.0010133401931047897,0.0007736136596137259,0.0004608660014451989,-0.15634235843691227,-0.5693394926630991,0.18487958786189249,-3.180013439877763e-06,5.158638942504012e-06,1.040025079269332e-05,6.201694220075993e-05,-4.177531070581608e-05,-7.508317663429409e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,1e-06,-6.9e-05,-0.000109,-0.0007999999999999999,0.09499999999999999,0.15019999999999997
6.256787198594684e-08,-5.523297016076185e-06,-4.407319775771557e-07,0.00010037296734680515,-9.216984101788902e-05,-1.4782403349232684e-05,-3.117719375561773e-05,2.0506227309775687e-05,3.0727721890726564e-05,-6.34540214984692e-05,5.100023922680409e-05,2.8350784502513405e-05,3.937477604788931e-07,-5.6453712654222676e-06,-6.992029322395893e-07,0.00010008440197968951,-9.190681497385008e-05,-1.4765478437408892e-05,3.1904602479373856e-05,1.671668925627439e-06,-9.373769427394743e-06,-8.139255743855812e-05,5.619220000262012e-05,5.025354938479984e-05,0.00010420016279596989,6.707722827034301e-05,1.0497314316946702e-05,-0.0009323695755873586,0.0007501529363467574,0.00036204909225673256,-0.15634241202058458,-0.569339357804581,0.18487986719492266,-1.6075101693768793e-06,4.04575554403171e-06,8.37999090531246e-06,4.7175098115026515e-05,-3.3386501954169034e-05,-6.060779662142579e-05,0.0,0.0,0.0,-0.156341,-0.569339,0.184881,-7e-06,0.000881,0.001393,0.00030000000000000003,-0.03899999999999999,-0.06159999999999999
-6.579549074792806e-07,-2.338904421160504e-06,4.013272609764358e-06,9.887828641074307e-05,-9.552654445068199e-05,-3.835972477423377e-06,-2.1615374643921316e-05,9.55324203120274e-05,0.00013361932142679135,-4.4840197943796944e-05,-0.00010070090683438746,0.0003283929827467185,-6.669847779540652e-08,-3.1825000822093125e-06,2.693723703900514e-06,9.838810492604243e-05,-9.403125918540211e-05,-6.179390698810684e-06,-1.5706448403480635e-06,6.330650049645101e-05,8.344950663041452e-05,-6.862867359732464e-05,-3.672243850486463e-05,0.00023481035480509878,2.0259620788347726e-05,0.00020201447051350807,0.0002205705333272865,-0.0008327791741068914,0.00048228405900043126,0.0007538868826513332,-0.15634242621268943,-0.5693391636584751,0.18488021662234616,-4.257631457763951e-07,5.824383175460449e-06,1.0482822705126794e-05,3.5452410708014526e-05,5.3358828942862147e-05,6.308495399443004e-05,0.0,0.0,0.0,-0.156341,-0.569334,0.18488799999999997,-4e-06,0.000491,0.000777,0.0006000000000000001,-0.0785,-0.1242
